x.pos,y.pos,year,month,day,Depth,TNO,survey,transect,area,Nhat,yearmonth,impact
392533.42,6147255.7,2005,11,19,26.86,101,1,1,0.956,0,200511,0
394553.63,6146822.1,2005,11,19,24.6,102,1,2,0.034416,0,200511,0
394527.07,6147079.55,2005,11,19,24.97,102,1,2,0.956,0,200511,0
394497.75,6147578.63,2005,11,19,26.04,102,1,2,0.956,0,200511,0
394500.16,6148078.51,2005,11,19,27.56,102,1,2,0.956,0,200511,0
394514.78,6148578.28,2005,11,19,27.66,102,1,2,0.956,0,200511,0
394525.47,6149078.15,2005,11,19,27.37,102,1,2,0.956,0,200511,0
394525.4,6149578.13,2005,11,19,27.16,102,1,2,0.956,0,200511,0
394509.92,6150077.86,2005,11,19,27.25,102,1,2,0.956,0,200511,0
394490.31,6150577.35,2005,11,19,27.58,102,1,2,0.956,0,200511,0
394502.41,6151077.19,2005,11,19,27.98,102,1,2,0.956,0,200511,0
394523.01,6151576.76,2005,11,19,28.45,102,1,2,0.956,0,200511,0
394536.78,6152076.56,2005,11,19,28.97,102,1,2,0.956,0,200511,0
394540.52,6152576.53,2005,11,19,29.51,102,1,2,0.956,0,200511,0
394546.43,6153076.49,2005,11,19,30.04,102,1,2,0.956,0,200511,0
394543.12,6153576.47,2005,11,19,30.59,102,1,2,0.956,0,200511,0
394543.18,6154076.47,2005,11,19,31.18,102,1,2,0.956,0,200511,0
394553.79,6154576.34,2005,11,19,31.81,102,1,2,0.956,0,200511,0
394563.49,6155076.23,2005,11,19,32.49,102,1,2,0.956,0,200511,0
394575.08,6155576.08,2005,11,19,33.29,102,1,2,0.956,0,200511,0
394580.08,6156076.04,2005,11,19,33.91,102,1,2,0.956,0,200511,0
394575.17,6156576,2005,11,19,34.15,102,1,2,0.956,0,200511,0
394568.19,6157075.95,2005,11,19,34.2,102,1,2,0.956,0,200511,0
394557.07,6157575.82,2005,11,19,34.15,102,1,2,0.956,0,200511,0
394545.54,6158075.68,2005,11,19,34.1,102,1,2,0.956,0,200511,0
394524.43,6158575.11,2005,11,19,34.07,102,1,2,0.956,0,200511,0
394475.77,6159072.67,2005,11,19,34.02,102,1,2,0.956,0,200511,0
394446.43,6159571.6,2005,11,19,33.84,102,1,2,0.956,0,200511,0
394466.68,6160070.99,2005,11,19,33.42,102,1,2,0.956,0,200511,0
